Alerts
ALERT: RCC Works: Reinforcements and Shuttering (Column / Wall /  Staircase) in B wing is REDO for more than 3 days (last: 2025-08-18)
ALERT: RCC Works: Reinforcements and Shuttering (Column / Wall /  Staircase) in Development is REDO for more than 3 days (last: 2025-06-23)
ALERT: CHECKLIST FOR WATERPROOFING  Samshield XL 1500 (1.6 mm thk.) cross laminated Veleron film vertical surfaces in B wing stuck in Pre for more than 3 weeks (since: 2025-07-10)
ALERT: CHECKLIST FOR WATERPROOFING  Samshield XL 1500 (1.6 mm thk.) cross laminated Veleron film vertical surfaces in B wing stuck in During for more than 3 weeks (since: 2025-07-21)
ALERT: CHECKLIST FOR WATERPROOFING  Samshield XL 1500 (1.6 mm thk.) cross laminated Veleron film vertical surfaces in C wing stuck in Pre for more than 3 weeks (since: 2025-08-06)
ALERT: RCC FOOTING WORK. in Development stuck in Shuttering for more than 3 weeks (since: 2025-06-17)
ALERT: RCC Works: Reinforcements and Shuttering (Column / Wall /  Staircase) in A wing stuck in Reinforcement for more than 3 weeks (since: 2025-06-21)
ALERT: RCC Works: Reinforcements and Shuttering (Column / Wall /  Staircase) in B wing stuck in Reinforcement for more than 3 weeks (since: 2025-06-26)
ALERT: RCC Works: Reinforcements and Shuttering (Column / Wall /  Staircase) in Development stuck in During for more than 3 weeks (since: 2025-06-19)
ALERT: RCC Works: Reinforcements and Shuttering (Column / Wall /  Staircase) in Development stuck in Post for more than 3 weeks (since: 2025-06-20)
ALERT: RCC Works: Reinforcements and Shuttering (Column / Wall /  Staircase) in Development stuck in Shuttering for more than 3 weeks (since: 2025-06-23)
ALERT: RCC Works: Reinforcements and Shuttering (Slab/Beam) in C wing stuck in Shuttering for more than 3 weeks (since: 2025-06-28)
ALERT: Waterproofing Checklist (Dr. Fixit E Membrane Laying Below Raft) in A wing stuck in Pre for more than 3 weeks (since: 2025-07-08)
