BaseName,Building,Pre,During,Post,Reinforcement,Shuttering,Other,Total Count
,Building A,0,0,0,0,0,0,0
,Building B,0,0,0,0,0,0,0
,Building C,0,0,0,0,0,0,0
,Building D,0,0,0,0,0,0,0
,Building E,0,0,0,0,0,0,0
,Building F,0,0,0,0,0,0,0
,Development,0,0,0,0,0,0,0
,MLCP,0,0,0,0,0,0,0
,UNKNOWN,0,0,0,0,0,1,1
AAC BLOCK WORK,Building A,8,3,2,0,0,0,13
AAC BLOCK WORK,Building B,0,0,0,0,0,0,0
AAC BLOCK WORK,Building C,0,0,0,0,0,0,0
AAC BLOCK WORK,Building D,59,52,50,0,0,0,161
AAC BLOCK WORK,Building E,0,0,0,0,0,0,0
AAC BLOCK WORK,Building F,51,42,35,0,0,0,128
AAC BLOCK WORK,Development,0,0,0,0,0,0,0
AAC BLOCK WORK,MLCP,0,0,0,0,0,0,0
AAC BLOCK WORK,UNKNOWN,1,0,0,0,0,0,1
ALLUMINIUM WINDOW AND SLIDING DOOR WORK,Building A,0,0,0,0,0,0,0
ALLUMINIUM WINDOW AND SLIDING DOOR WORK,Building B,8,0,0,0,0,0,8
ALLUMINIUM WINDOW AND SLIDING DOOR WORK,Building C,0,0,0,0,0,0,0
ALLUMINIUM WINDOW AND SLIDING DOOR WORK,Building D,0,0,0,0,0,0,0
ALLUMINIUM WINDOW AND SLIDING DOOR WORK,Building E,21,21,21,0,0,0,63
ALLUMINIUM WINDOW AND SLIDING DOOR WORK,Building F,0,0,0,0,0,0,0
ALLUMINIUM WINDOW AND SLIDING DOOR WORK,Development,0,0,0,0,0,0,0
ALLUMINIUM WINDOW AND SLIDING DOOR WORK,MLCP,0,0,0,0,0,0,0
ALLUMINIUM WINDOW AND SLIDING DOOR WORK,UNKNOWN,0,0,0,0,0,0,0
Aluform Checklist,Building A,5,3,1,0,0,0,9
Aluform Checklist,Building B,0,0,0,0,0,0,0
Aluform Checklist,Building C,0,0,0,0,0,0,0
Aluform Checklist,Building D,1,1,0,0,0,0,2
Aluform Checklist,Building E,0,0,0,0,0,0,0
Aluform Checklist,Building F,3,3,0,0,0,7,13
Aluform Checklist,Development,0,0,0,0,0,0,0
Aluform Checklist,MLCP,0,0,0,0,0,0,0
Aluform Checklist,UNKNOWN,0,0,0,0,0,0,0
BRICK BATT WATERPROOFING,Building A,0,0,0,0,0,0,0
BRICK BATT WATERPROOFING,Building B,0,0,0,0,0,0,0
BRICK BATT WATERPROOFING,Building C,1,0,0,0,0,0,1
BRICK BATT WATERPROOFING,Building D,0,0,0,0,0,0,0
BRICK BATT WATERPROOFING,Building E,0,0,0,0,0,0,0
BRICK BATT WATERPROOFING,Building F,0,0,0,0,0,0,0
BRICK BATT WATERPROOFING,Development,0,0,0,0,0,0,0
BRICK BATT WATERPROOFING,MLCP,0,0,0,0,0,0,0
BRICK BATT WATERPROOFING,UNKNOWN,0,0,0,0,0,0,0
CARPENTRY WORK : DOOR FRAME & SHUTTERS,Building A,0,0,0,0,0,0,0
CARPENTRY WORK : DOOR FRAME & SHUTTERS,Building B,11,0,0,0,0,0,11
CARPENTRY WORK : DOOR FRAME & SHUTTERS,Building C,2,0,0,0,0,0,2
CARPENTRY WORK : DOOR FRAME & SHUTTERS,Building D,0,0,0,0,0,0,0
CARPENTRY WORK : DOOR FRAME & SHUTTERS,Building E,6,1,0,0,0,0,7
CARPENTRY WORK : DOOR FRAME & SHUTTERS,Building F,0,0,0,0,0,0,0
CARPENTRY WORK : DOOR FRAME & SHUTTERS,Development,0,0,0,0,0,0,0
CARPENTRY WORK : DOOR FRAME & SHUTTERS,MLCP,0,0,0,0,0,0,0
CARPENTRY WORK : DOOR FRAME & SHUTTERS,UNKNOWN,0,0,0,0,0,0,0
Conventinal drain piping PVC,Building A,0,0,0,0,0,0,0
Conventinal drain piping PVC,Building B,0,0,0,0,0,0,0
Conventinal drain piping PVC,Building C,0,0,0,0,0,0,0
Conventinal drain piping PVC,Building D,0,0,0,0,0,0,0
Conventinal drain piping PVC,Building E,0,0,0,0,0,0,0
Conventinal drain piping PVC,Building F,0,0,0,0,0,0,0
Conventinal drain piping PVC,Development,0,0,0,0,0,1,1
Conventinal drain piping PVC,MLCP,0,0,0,0,0,0,0
